CustomerID,Customer_Type,Country,CustomerTier,ProductTier,Customer_govt_id,Customer_Phone,ZipCode,SSN_Individual,LoanAmount,InterestEarned,QSDate,TransactionDate,ClosingDate
CRN-1000,Individual,USA,Platinum,BondLoan,ABC1234,312-435-1234,60047,IL6789,1018.2,101.8,1/1/2022,3/13/2022,3/14/2022
CRN-1000,Individual,Canada,Gold,HomeLoan,ABC1235,312-435-1235,80021,IL6790,511.9,51.8,1/1/2022,3/26/2022,3/30/2022
CRN-1000,Individual,USA,Silver,ProdTier15,ABC1236,312-435-1236,60010,IL6791,1004.2,100.4,1/1/2022,4/13/2022,4/17/2022
CRN-1000,Individual,Canada,Platinum,ProdTier7,ABC1237,312-435-1237,80038,IL6792,509.5,50.6,1/1/2022,4/25/2022,4/27/2022
CRN-1000,Individual,USA,Gold,ProdTier25,ABC1238,312-435-1238,60042,IL6793,1012.7,101,1/1/2022,1/17/2022,1/19/2022
CRN-1000,Individual,Canada,Silver,ProdTier17,ABC1239,312-435-1239,80009,IL6794,511.4,50.6,1/1/2022,1/28/2022,2/2/2022
CRN-1000,Individual,USA,Platinum,ProdTier20,ABC1240,312-435-1240,60023,IL6795,1020.4,102.6,1/1/2022,3/7/2022,3/10/2022
CRN-1000,Individual,Canada,Gold,HomeLoan,ABC1241,312-435-1241,80001,IL6796,516.6,51.8,1/1/2022,3/20/2022,3/22/2022
CRN-1000,Individual,USA,Silver,BikeLoan,ABC1242,312-435-1242,60037,IL6797,1006.5,100.9,1/1/2022,1/25/2022,1/27/2022
CRN-1000,Individual,Canada,Platinum,ProdTier8,ABC1243,312-435-1243,80037,IL6798,519.5,51.4,1/1/2022,1/29/2022,2/1/2022
CRN-1000,Individual,USA,Gold,ProdTier15,ABC1244,312-435-1244,60038,IL6799,1008,100.7,1/1/2022,3/16/2022,3/20/2022
CRN-1000,Individual,Canada,Silver,ProdTier3,ABC1245,312-435-1245,80039,IL6800,516.8,52,1/1/2022,3/6/2022,3/11/2022
,Individual,USA,Platinum,BoatLoan,ABC1246,312-435-1246,60016,IL6801,1015.1,102,1/1/2022,3/14/2022,3/16/2022
,Individual,Canada,Gold,ProdTier6,ABC1247,312-435-1247,80040,IL6802,512.1,51.6,1/1/2022,2/17/2022,2/19/2022
,Individual,USA,Silver,BikeLoan,ABC1248,312-435-1248,60002,IL6803,1013.2,101,1/1/2022,1/16/2022,1/20/2022
,Individual,Canada,Platinum,ProdTier9,ABC1249,312-435-1249,80006,IL6804,519,51.9,1/1/2022,3/29/2022,4/3/2022
,Individual,USA,Gold,ProdTier18,ABC1250,312-435-1250,60011,IL6805,1021,101.9,1/1/2022,1/13/2022,1/14/2022
,Individual,Canada,Silver,ProdTier30,ABC1251,312-435-1251,80024,IL6806,522,52.2,1/1/2022,1/18/2022,1/19/2022
,Individual,USA,Platinum,BoatLoan,ABC1252,312-435-1252,60028,IL6807,1015,101.5,1/1/2022,3/16/2022,3/20/2022
,Individual,Canada,Gold,ProdTier25,ABC1253,312-435-1253,80038,IL6808,506.9,50.9,1/1/2022,3/7/2022,3/8/2022
,Individual,USA,Silver,ProdTier29,ABC1254,312-435-1254,60004,IL6809,1015.3,101.7,1/1/2022,3/30/2022,3/31/2022
,Individual,Canada,Platinum,ProdTier2,ABC1255,312-435-1255,80029,IL6810,506.1,50.2,1/1/2022,3/10/2022,3/15/2022
,Individual,USA,Gold,ProdTier17,ABC1256,312-435-1256,60041,IL6811,1004.3,100.9,1/1/2022,4/21/2022,4/26/2022
,Individual,Canada,Silver,ProdTier29,ABC1257,312-435-1257,80023,IL6812,513,51.5,1/1/2022,3/15/2022,3/20/2022
,Individual,USA,Platinum,ProdTier24,ABC1258,312-435-1258,60037,IL6813,1018.1,101.8,1/1/2022,3/29/2022,4/1/2022
,Individual,Canada,Gold,ProdTier30,ABC1259,312-435-1259,80038,IL6814,520.3,51.2,1/1/2022,2/28/2022,3/3/2022
,Individual,USA,Silver,ProdTier29,ABC1260,312-435-1260,60034,IL6815,1014.7,101.7,1/1/2022,4/25/2022,4/26/2022
,Individual,Canada,Platinum,ProdTier27,ABC1261,312-435-1261,80022,IL6816,515.1,51.2,1/1/2022,3/21/2022,3/25/2022
,Individual,USA,Gold,ProdTier25,ABC1262,312-435-1262,60011,IL6817,1022,102.5,1/1/2022,4/26/2022,4/28/2022
,Individual,Canada,Silver,StockLoan,ABC1263,312-435-1263,80003,IL6818,510.9,51.4,1/1/2022,3/15/2022,3/16/2022
,Individual,USA,Platinum,ProdTier28,ABC1264,312-435-1264,60027,IL6819,1014.9,101.3,1/1/2022,3/17/2022,3/18/2022
,Individual,Canada,Gold,BoatLoan,ABC1265,312-435-1265,80012,IL6820,518,51.5,1/1/2022,3/19/2022,3/23/2022
,Individual,USA,Silver,CreditCard,ABC1266,312-435-1266,60038,IL6821,1020.4,101.2,1/1/2022,4/1/2022,4/6/2022
,Individual,Canada,Platinum,ProdTier1,ABC1267,312-435-1267,80038,IL6822,510.4,51.1,1/1/2022,4/13/2022,4/14/2022
,Individual,USA,Gold,ProdTier17,ABC1268,312-435-1268,60028,IL6823,1002.2,100.3,1/1/2022,1/31/2022,2/4/2022
,Individual,Canada,Silver,ProdTier30,ABC1269,312-435-1269,80043,IL6824,513,51.2,1/1/2022,2/27/2022,3/1/2022
,Individual,USA,Platinum,IRALoan,ABC1270,312-435-1270,60014,IL6825,1014.1,101.3,1/1/2022,1/29/2022,2/2/2022
,Individual,Canada,Gold,ProdTier8,ABC1271,312-435-1271,80030,IL6826,512.4,51.7,1/1/2022,2/19/2022,2/22/2022
,Individual,USA,Silver,ProdTier16,ABC1272,312-435-1272,60005,IL6827,1016.7,101.9,1/1/2022,1/10/2022,1/12/2022
,Individual,Canada,Platinum,ProdTier9,ABC1273,312-435-1273,80014,IL6828,503,50.5,1/1/2022,3/22/2022,3/24/2022
,Individual,USA,Gold,ProdTier8,ABC1274,312-435-1274,60023,IL6829,1018.8,101.1,1/1/2022,3/26/2022,3/30/2022
,Individual,Canada,Silver,ProdTier6,ABC1275,312-435-1275,80022,IL6830,512.9,51.6,1/1/2022,1/28/2022,1/29/2022
,Individual,USA,Platinum,ProdTier27,ABC1276,312-435-1276,60035,IL6831,1012.2,101.4,1/1/2022,2/25/2022,2/27/2022
,Individual,Canada,Gold,ProdTier28,ABC1277,312-435-1277,80030,IL6832,511.3,50.6,1/1/2022,2/5/2022,2/7/2022
,Individual,USA,Silver,ProdTier9,ABC1278,312-435-1278,60004,IL6833,1017.2,102.2,1/1/2022,4/23/2022,4/28/2022
,Individual,Canada,Platinum,ProdTier15,ABC1279,312-435-1279,80036,IL6834,519.5,51.5,1/1/2022,3/21/2022,3/26/2022
,Individual,USA,Gold,ProdTier6,ABC1280,312-435-1280,60003,IL6835,1026.4,102.3,1/1/2022,3/10/2022,3/11/2022
,Individual,Canada,Silver,ProdTier3,ABC1281,312-435-1281,80043,IL6836,512.8,50.9,1/1/2022,4/5/2022,4/10/2022
,Individual,USA,Platinum,ProdTier25,ABC1282,312-435-1282,60016,IL6837,1025,101.9,1/1/2022,4/8/2022,4/12/2022
,Individual,Canada,Gold,CreditCard,ABC1283,312-435-1283,80001,IL6838,506.5,51.4,1/1/2022,2/15/2022,2/19/2022
,Individual,USA,Silver,ProdTier18,ABC1284,312-435-1284,60013,IL6839,1004.7,100.9,1/1/2022,2/12/2022,2/15/2022
,Individual,Canada,Platinum,ProdTier10,ABC1285,312-435-1285,80036,IL6840,512.7,51.1,1/1/2022,1/19/2022,1/23/2022
,Individual,USA,Gold,ProdTier30,ABC1286,312-435-1286,60042,IL6841,1019.1,101.5,1/1/2022,2/15/2022,2/19/2022
,Individual,Canada,Silver,CreditCard,ABC1287,312-435-1287,80012,IL6842,514.5,51,1/1/2022,4/24/2022,4/26/2022
,Individual,USA,Platinum,ProdTier28,ABC1288,312-435-1288,60045,IL6843,1017.9,101.7,1/1/2022,1/19/2022,1/21/2022
,Individual,Canada,Gold,ProdTier1,ABC1289,312-435-1289,80012,IL6844,510.3,51,1/1/2022,4/1/2022,4/6/2022
,Individual,USA,Silver,ProdTier28,ABC1290,312-435-1290,60035,IL6845,1013,100.8,1/1/2022,2/14/2022,2/18/2022
,Individual,Canada,Platinum,HomeLoan,ABC1291,312-435-1291,80035,IL6846,520,51.4,1/1/2022,2/23/2022,2/27/2022
,Individual,USA,Gold,ProdTier28,ABC1292,312-435-1292,60036,IL6847,1022.9,102.9,1/1/2022,2/14/2022,2/19/2022
,Individual,Canada,Silver,ProdTier26,ABC1293,312-435-1293,80016,IL6848,520.6,51.8,1/1/2022,2/5/2022,2/6/2022
,Individual,USA,Platinum,ProdTier10,ABC1294,312-435-1294,60035,IL6849,1020.8,102.4,1/1/2022,4/18/2022,4/23/2022
,Individual,Canada,Gold,HomeLoan,ABC1295,312-435-1295,80032,IL6850,517.3,51.7,1/1/2022,2/22/2022,2/26/2022
,Individual,USA,Silver,ProdTier24,ABC1296,312-435-1296,60030,IL6851,1013.1,101.4,1/1/2022,2/3/2022,2/8/2022
,Individual,Canada,Platinum,ProdTier24,ABC1297,312-435-1297,80016,IL6852,516,52,1/1/2022,2/13/2022,2/18/2022
,Individual,USA,Gold,BikeLoan,ABC1298,312-435-1298,60001,IL6853,1016.8,101.6,1/1/2022,2/22/2022,2/23/2022
,Individual,Canada,Silver,HomeLoan,ABC1299,312-435-1299,80040,IL6854,508.4,51.1,1/1/2022,4/7/2022,4/9/2022
,Individual,USA,Platinum,ProdTier9,ABC1300,312-435-1300,60032,IL6855,1020.8,102,1/1/2022,4/6/2022,4/7/2022
,Individual,Canada,Gold,ProdTier2,ABC1301,312-435-1301,80038,IL6856,519.3,52.1,1/1/2022,2/10/2022,2/14/2022
,Individual,USA,Silver,ProdTier24,ABC1302,312-435-1302,60021,IL6857,1012.5,101.4,1/1/2022,1/5/2022,1/9/2022
,Individual,Canada,Platinum,ProdTier18,ABC1303,312-435-1303,80040,IL6858,503.3,50.2,1/1/2022,1/16/2022,1/21/2022
,Individual,USA,Gold,ProdTier24,ABC1304,312-435-1304,60024,IL6859,1014.8,100.9,1/1/2022,2/19/2022,2/21/2022
,Individual,Canada,Silver,ProdTier7,ABC1305,312-435-1305,80010,IL6860,510.1,50.7,1/1/2022,4/16/2022,4/20/2022
,Individual,USA,Platinum,ProdTier5,ABC1306,312-435-1306,60047,IL6861,1011.9,101.4,1/1/2022,1/7/2022,1/8/2022
,Individual,Canada,Gold,ProdTier9,ABC1307,312-435-1307,80018,IL6862,513.4,52,1/1/2022,2/23/2022,2/25/2022
,Individual,USA,Silver,ProdTier13,ABC1308,312-435-1308,60025,IL6863,1013.2,100.8,1/1/2022,2/20/2022,2/21/2022
,Individual,Canada,Platinum,HomeLoan,ABC1309,312-435-1309,80001,IL6864,520.8,51.7,1/1/2022,3/15/2022,3/17/2022
